"","ASV","#lca rank","#lca taxon","#kingdom","#phylum","#class","#order","#family","#genus","#species","#method","family","genus","FBname","DemersPelag","AnaCat","Importance"
"98","ASV103","species","Tautogolabrus adspersus","Eukaryota","Chordata","Actinopteri","Labriformes","Labridae","Tautogolabrus","Tautogolabrus adspersus","best hit","Labridae","Tautogolabrus","Cunner","reef-associated",NA,"commercial"
"99","ASV104","species","Merluccius albidus","Eukaryota","Chordata","Actinopteri","Gadiformes","Merlucciidae","Merluccius","Merluccius albidus","best hit","Merlucciidae","Merluccius","Offshore silver hake","bathydemersal","non-migratory","minor commercial"
"100","ASV105","species","Merluccius bilinearis","Eukaryota","Chordata","Actinopteri","Gadiformes","Merlucciidae","Merluccius","Merluccius bilinearis","best hit","Merlucciidae","Merluccius","Silver hake","demersal","oceanodromous","highly commercial"
"101","ASV106","species","Ammodytes americanus","Eukaryota","Chordata","Actinopteri","Uranoscopiformes","Ammodytidae","Ammodytes","Ammodytes americanus","best hit","Ammodytidae","Ammodytes","American sand lance","demersal",NA,"of potential interest"
"102","ASV107","species","Salvelinus fontinalis","Eukaryota","Chordata","Actinopteri","Salmoniformes","Salmonidae","Salvelinus","Salvelinus fontinalis","best hit","Salmonidae","Salvelinus","Brook trout","benthopelagic","anadromous","minor commercial"
"103","ASV108","species","Paralepididae sp.","Eukaryota","Chordata","Actinopteri","Aulopiformes","Paralepididae","unknown genus","Paralepididae sp.","best hit",NA,NA,NA,NA,NA,NA
"104","ASV109","species","Merluccius bilinearis","Eukaryota","Chordata","Actinopteri","Gadiformes","Merlucciidae","Merluccius","Merluccius bilinearis","best hit","Merlucciidae","Merluccius","Silver hake","demersal","oceanodromous","highly commercial"
"105","ASV110","species","Clupea harengus","Eukaryota","Chordata","Actinopteri","Clupeiformes","Clupeidae","Clupea","Clupea harengus","best hit","Clupeidae","Clupea","Atlantic herring","benthopelagic","oceanodromous","highly commercial"
"106","ASV111","species","Merluccius bilinearis","Eukaryota","Chordata","Actinopteri","Gadiformes","Merlucciidae","Merluccius","Merluccius bilinearis","best hit","Merlucciidae","Merluccius","Silver hake","demersal","oceanodromous","highly commercial"
"107","ASV112","species","Benthosema glaciale","Eukaryota","Chordata","Actinopteri","Myctophiformes","Myctophidae","Benthosema","Benthosema glaciale","best hit","Myctophidae","Benthosema","Glacier lantern fish","pelagic-oceanic","non-migratory","of potential interest"
"108","ASV113","species","Hippoglossina oblonga","Eukaryota","Chordata","Actinopteri","Pleuronectiformes","Paralichthyidae","Hippoglossina","Hippoglossina oblonga","best hit","Paralichthyidae","Hippoglossina","American fourspot flounder","demersal",NA,"commercial"
"109","ASV114","species","Clupea harengus","Eukaryota","Chordata","Actinopteri","Clupeiformes","Clupeidae","Clupea","Clupea harengus","best hit","Clupeidae","Clupea","Atlantic herring","benthopelagic","oceanodromous","highly commercial"
"110","ASV115","species","Tautogolabrus adspersus","Eukaryota","Chordata","Actinopteri","Labriformes","Labridae","Tautogolabrus","Tautogolabrus adspersus","best hit","Labridae","Tautogolabrus","Cunner","reef-associated",NA,"commercial"
"111","ASV116","species","Ammodytes dubius","Eukaryota","Chordata","Actinopteri","Uranoscopiformes","Ammodytidae","Ammodytes","Ammodytes dubius","best hit","Ammodytidae","Ammodytes","Northern sand lance","demersal",NA,"of potential interest"
"112","ASV117","species","Notoscopelus elongatus","Eukaryota","Chordata","Actinopteri","Myctophiformes","Myctophidae","Notoscopelus","Notoscopelus elongatus","best hit",NA,NA,NA,NA,NA,NA
"113","ASV118","species","Semotilus atromaculatus","Eukaryota","Chordata","Actinopteri","Cypriniformes","Leuciscidae","Semotilus","Semotilus atromaculatus","best hit",NA,NA,NA,NA,NA,NA
"114","ASV119","species","Zenopsis conchifer","Eukaryota","Chordata","Actinopteri","Zeiformes","Zeidae","Zenopsis","Zenopsis conchifer","best hit","Zeidae","Zenopsis","Silvery John dory","benthopelagic",NA,"commercial"
"115","ASV120","genus","Liparis","Eukaryota","Chordata","Actinopteri","Perciformes","Liparidae","Liparis","no identification","lca",NA,NA,NA,NA,NA,NA
"116","ASV121","species","Salmo salar","Eukaryota","Chordata","Actinopteri","Salmoniformes","Salmonidae","Salmo","Salmo salar","best hit","Salmonidae","Salmo","Atlantic salmon","benthopelagic","anadromous","highly commercial"
"117","ASV122","species","Pholis gunnellus","Eukaryota","Chordata","Actinopteri","Perciformes","Pholidae","Pholis","Pholis gunnellus","best hit","Pholidae","Pholis","Rock gunnel","demersal","non-migratory","of no interest"
"118","ASV123","species","Apeltes quadracus","Eukaryota","Chordata","Actinopteri","Perciformes","Gasterosteidae","Apeltes","Apeltes quadracus","best hit","Gasterosteidae","Apeltes","Fourspine stickleback","benthopelagic",NA,"commercial"
"119","ASV124","species","Amblyraja radiata","Eukaryota","Chordata","Chondrichthyes","Rajiformes","Rajidae","Amblyraja","Amblyraja radiata","best hit","Rajidae","Amblyraja","Starry ray","demersal","oceanodromous","minor commercial"
"120","ASV125","species","Menidia menidia","Eukaryota","Chordata","Actinopteri","Atheriniformes","Atherinopsidae","Menidia","Menidia menidia","best hit","Atherinopsidae","Menidia","Atlantic silverside","pelagic-neritic","oceanodromous","minor commercial"
"121","ASV126","species","Gasterosteus wheatlandi","Eukaryota","Chordata","Actinopteri","Perciformes","Gasterosteidae","Gasterosteus","Gasterosteus wheatlandi","best hit","Gasterosteidae","Gasterosteus","Blackspotted stickleback","benthopelagic",NA,NA
"122","ASV127","species","Lampanyctus australis","Eukaryota","Chordata","Actinopteri","Myctophiformes","Myctophidae","Lampanyctus","Lampanyctus australis","best hit",NA,NA,NA,NA,NA,NA
"123","ASV128","species","Gasterosteus aculeatus","Eukaryota","Chordata","Actinopteri","Perciformes","Gasterosteidae","Gasterosteus","Gasterosteus aculeatus","best hit","Gasterosteidae","Gasterosteus","Three-spined stickleback","benthopelagic","anadromous","minor commercial"
"124","ASV129","species","Semotilus atromaculatus","Eukaryota","Chordata","Actinopteri","Cypriniformes","Leuciscidae","Semotilus","Semotilus atromaculatus","best hit",NA,NA,NA,NA,NA,NA
"125","ASV130","species","Ammodytes marinus","Eukaryota","Chordata","Actinopteri","Uranoscopiformes","Ammodytidae","Ammodytes","Ammodytes marinus","best hit","Ammodytidae","Ammodytes","Lesser sand-eel","benthopelagic",NA,"commercial"
"126","ASV131","species","Scomber scombrus","Eukaryota","Chordata","Actinopteri","Scombriformes","Scombridae","Scomber","Scomber scombrus","best hit","Scombridae","Scomber","Atlantic mackerel","pelagic-neritic","oceanodromous","highly commercial"
"127","ASV132","species","Urophycis chuss","Eukaryota","Chordata","Actinopteri","Gadiformes","Phycidae","Urophycis","Urophycis chuss","best hit","Phycidae","Urophycis","Red hake","demersal","oceanodromous","commercial"
"128","ASV134","species","Morone americana","Eukaryota","Chordata","Actinopteri","unknown order","Moronidae","Morone","Morone americana","best hit","Moronidae","Morone","White perch","benthopelagic","anadromous","minor commercial"
"129","ASV135","species","Osmerus mordax","Eukaryota","Chordata","Actinopteri","Osmeriformes","Osmeridae","Osmerus","Osmerus mordax","best hit","Osmeridae","Osmerus","Rainbow smelt","pelagic-oceanic","anadromous","commercial"
"130","ASV136","species","Osmerus mordax","Eukaryota","Chordata","Actinopteri","Osmeriformes","Osmeridae","Osmerus","Osmerus mordax","best hit","Osmeridae","Osmerus","Rainbow smelt","pelagic-oceanic","anadromous","commercial"
"131","ASV137","species","Gadus morhua","Eukaryota","Chordata","Actinopteri","Gadiformes","Gadidae","Gadus","Gadus morhua","best hit","Gadidae","Gadus","Atlantic cod","benthopelagic","oceanodromous","highly commercial"
"132","ASV138","species","Brosme brosme","Eukaryota","Chordata","Actinopteri","Gadiformes","Lotidae","Brosme","Brosme brosme","best hit","Lotidae","Brosme","Cusk","demersal","oceanodromous","highly commercial"
"133","ASV140","species","Gasterosteus aculeatus","Eukaryota","Chordata","Actinopteri","Perciformes","Gasterosteidae","Gasterosteus","Gasterosteus aculeatus","best hit","Gasterosteidae","Gasterosteus","Three-spined stickleback","benthopelagic","anadromous","minor commercial"
"134","ASV141","species","Myoxocephalus aenaeus","Eukaryota","Chordata","Actinopteri","Perciformes","Cottidae","Myoxocephalus","Myoxocephalus aenaeus","best hit","Cottidae","Myoxocephalus","Grubby","demersal",NA,NA
"135","ASV142","species","Pholis gunnellus","Eukaryota","Chordata","Actinopteri","Perciformes","Pholidae","Pholis","Pholis gunnellus","best hit","Pholidae","Pholis","Rock gunnel","demersal","non-migratory","of no interest"
"136","ASV143","species","Clupea harengus","Eukaryota","Chordata","Actinopteri","Clupeiformes","Clupeidae","Clupea","Clupea harengus","best hit","Clupeidae","Clupea","Atlantic herring","benthopelagic","oceanodromous","highly commercial"
"137","ASV144","species","Chrosomus neogaeus","Eukaryota","Chordata","Actinopteri","Cypriniformes","Leuciscidae","Chrosomus","Chrosomus neogaeus","best hit",NA,NA,NA,NA,NA,NA
"138","ASV147","species","Dermochelys coriacea","Eukaryota","Chordata","unknown class","Testudines","Dermochelyidae","Dermochelys","Dermochelys coriacea","best hit",NA,NA,NA,NA,NA,NA
"139","ASV148","species","Gadus morhua","Eukaryota","Chordata","Actinopteri","Gadiformes","Gadidae","Gadus","Gadus morhua","best hit","Gadidae","Gadus","Atlantic cod","benthopelagic","oceanodromous","highly commercial"
"140","ASV150","species","Gasterosteus aculeatus","Eukaryota","Chordata","Actinopteri","Perciformes","Gasterosteidae","Gasterosteus","Gasterosteus aculeatus","best hit","Gasterosteidae","Gasterosteus","Three-spined stickleback","benthopelagic","anadromous","minor commercial"
"141","ASV151","species","Gasterosteus aculeatus","Eukaryota","Chordata","Actinopteri","Perciformes","Gasterosteidae","Gasterosteus","Gasterosteus aculeatus","best hit","Gasterosteidae","Gasterosteus","Three-spined stickleback","benthopelagic","anadromous","minor commercial"
"142","ASV152","species","Lycodes nakamurae","Eukaryota","Chordata","Actinopteri","Perciformes","Zoarcidae","Lycodes","Lycodes nakamurae","best hit",NA,NA,NA,NA,NA,NA
"143","ASV153","species","Tautogolabrus adspersus","Eukaryota","Chordata","Actinopteri","Labriformes","Labridae","Tautogolabrus","Tautogolabrus adspersus","best hit","Labridae","Tautogolabrus","Cunner","reef-associated",NA,"commercial"
"144","ASV155","species","Gasterosteus aculeatus","Eukaryota","Chordata","Actinopteri","Perciformes","Gasterosteidae","Gasterosteus","Gasterosteus aculeatus","best hit","Gasterosteidae","Gasterosteus","Three-spined stickleback","benthopelagic","anadromous","minor commercial"
"145","ASV156","species","Micropterus dolomieu","Eukaryota","Chordata","Actinopteri","Centrarchiformes","Centrarchidae","Micropterus","Micropterus dolomieu","best hit",NA,NA,NA,NA,NA,NA
"146","ASV157","species","Pholis gunnellus","Eukaryota","Chordata","Actinopteri","Perciformes","Pholidae","Pholis","Pholis gunnellus","best hit","Pholidae","Pholis","Rock gunnel","demersal","non-migratory","of no interest"
"147","ASV158","species","Tautogolabrus adspersus","Eukaryota","Chordata","Actinopteri","Labriformes","Labridae","Tautogolabrus","Tautogolabrus adspersus","best hit","Labridae","Tautogolabrus","Cunner","reef-associated",NA,"commercial"
"148","ASV159","species","Leptoclinus maculatus","Eukaryota","Chordata","Actinopteri","Perciformes","Stichaeidae","Leptoclinus","Leptoclinus maculatus","best hit","Stichaeidae","Leptoclinus","Daubed shanny","demersal",NA,NA
"149","ASV160","species","Gymnocanthus tricuspis","Eukaryota","Chordata","Actinopteri","Perciformes","Cottidae","Gymnocanthus","Gymnocanthus tricuspis","best hit","Cottidae","Gymnocanthus","Arctic staghorn sculpin","demersal",NA,NA
"150","ASV161","species","Gasterosteus aculeatus","Eukaryota","Chordata","Actinopteri","Perciformes","Gasterosteidae","Gasterosteus","Gasterosteus aculeatus","best hit","Gasterosteidae","Gasterosteus","Three-spined stickleback","benthopelagic","anadromous","minor commercial"
"151","ASV162","species","Tautogolabrus adspersus","Eukaryota","Chordata","Actinopteri","Labriformes","Labridae","Tautogolabrus","Tautogolabrus adspersus","best hit","Labridae","Tautogolabrus","Cunner","reef-associated",NA,"commercial"
"152","ASV163","species","Myzopsetta punctatissima","Eukaryota","Chordata","Actinopteri","Pleuronectiformes","Pleuronectidae","Myzopsetta","Myzopsetta punctatissima","best hit",NA,NA,NA,NA,NA,NA
"153","ASV164","species","Pungitius pungitius","Eukaryota","Chordata","Actinopteri","Perciformes","Gasterosteidae","Pungitius","Pungitius pungitius","best hit","Gasterosteidae","Pungitius","Ninespine stickleback","benthopelagic","anadromous","subsistence fisheries"
"154","ASV165","genus","Liparis","Eukaryota","Chordata","Actinopteri","Perciformes","Liparidae","Liparis","no identification","lca",NA,NA,NA,NA,NA,NA
"155","ASV166","species","Melanogrammus aeglefinus","Eukaryota","Chordata","Actinopteri","Gadiformes","Gadidae","Melanogrammus","Melanogrammus aeglefinus","best hit","Gadidae","Melanogrammus","Haddock","demersal","oceanodromous","highly commercial"
"156","ASV167","species","Gasterosteus aculeatus","Eukaryota","Chordata","Actinopteri","Perciformes","Gasterosteidae","Gasterosteus","Gasterosteus aculeatus","best hit","Gasterosteidae","Gasterosteus","Three-spined stickleback","benthopelagic","anadromous","minor commercial"
"157","ASV168","species","Megalocottus platycephalus","Eukaryota","Chordata","Actinopteri","Perciformes","Cottidae","Megalocottus","Megalocottus platycephalus","best hit",NA,NA,NA,NA,NA,NA
"158","ASV169","species","Ammodytes dubius","Eukaryota","Chordata","Actinopteri","Uranoscopiformes","Ammodytidae","Ammodytes","Ammodytes dubius","best hit","Ammodytidae","Ammodytes","Northern sand lance","demersal",NA,"of potential interest"
"159","ASV170","species","Fundulus diaphanus","Eukaryota","Chordata","Actinopteri","Cyprinodontiformes","Fundulidae","Fundulus","Fundulus diaphanus","best hit","Fundulidae","Fundulus","Banded killifish","benthopelagic","non-migratory","commercial"
"160","ASV171","species","Lampanyctus macdonaldi","Eukaryota","Chordata","Actinopteri","Myctophiformes","Myctophidae","Lampanyctus","Lampanyctus macdonaldi","best hit","Myctophidae","Lampanyctus","Rakery beaconlamp","bathypelagic","oceanodromous",NA
"161","ASV172","species","Merluccius bilinearis","Eukaryota","Chordata","Actinopteri","Gadiformes","Merlucciidae","Merluccius","Merluccius bilinearis","best hit","Merlucciidae","Merluccius","Silver hake","demersal","oceanodromous","highly commercial"
"162","ASV173","species","Liparis fabricii","Eukaryota","Chordata","Actinopteri","Perciformes","Liparidae","Liparis","Liparis fabricii","best hit","Liparidae","Liparis","Gelatinous snailfish","bathydemersal",NA,NA
"163","ASV174","species","Salvelinus fontinalis","Eukaryota","Chordata","Actinopteri","Salmoniformes","Salmonidae","Salvelinus","Salvelinus fontinalis","best hit","Salmonidae","Salvelinus","Brook trout","benthopelagic","anadromous","minor commercial"
"164","ASV176","species","Apeltes quadracus","Eukaryota","Chordata","Actinopteri","Perciformes","Gasterosteidae","Apeltes","Apeltes quadracus","best hit","Gasterosteidae","Apeltes","Fourspine stickleback","benthopelagic",NA,"commercial"
"165","ASV179","species","Salvelinus fontinalis","Eukaryota","Chordata","Actinopteri","Salmoniformes","Salmonidae","Salvelinus","Salvelinus fontinalis","best hit","Salmonidae","Salvelinus","Brook trout","benthopelagic","anadromous","minor commercial"
"166","ASV184","species","Scomber scombrus","Eukaryota","Chordata","Actinopteri","Scombriformes","Scombridae","Scomber","Scomber scombrus","best hit","Scombridae","Scomber","Atlantic mackerel","pelagic-neritic","oceanodromous","highly commercial"
"167","ASV187","species","Salvelinus fontinalis","Eukaryota","Chordata","Actinopteri","Salmoniformes","Salmonidae","Salvelinus","Salvelinus fontinalis","best hit","Salmonidae","Salvelinus","Brook trout","benthopelagic","anadromous","minor commercial"
"168","ASV188","species","Ammodytes cf. americanus","Eukaryota","Chordata","Actinopteri","Uranoscopiformes","Ammodytidae","Ammodytes","Ammodytes cf. americanus","best hit",NA,NA,NA,NA,NA,NA
"169","ASV190","class","Actinopteri","Eukaryota","Chordata","Actinopteri","no identification","no identification","no identification","no identification","lca",NA,NA,NA,NA,NA,NA
"170","ASV191","species","Salmo salar","Eukaryota","Chordata","Actinopteri","Salmoniformes","Salmonidae","Salmo","Salmo salar","best hit","Salmonidae","Salmo","Atlantic salmon","benthopelagic","anadromous","highly commercial"
"171","ASV192","species","Fundulus diaphanus","Eukaryota","Chordata","Actinopteri","Cyprinodontiformes","Fundulidae","Fundulus","Fundulus diaphanus","best hit","Fundulidae","Fundulus","Banded killifish","benthopelagic","non-migratory","commercial"
"172","ASV193","species","Artediellus ochotensis","Eukaryota","Chordata","Actinopteri","Perciformes","Cottidae","Artediellus","Artediellus ochotensis","best hit",NA,NA,NA,NA,NA,NA
"173","ASV194","species","Pholis gunnellus","Eukaryota","Chordata","Actinopteri","Perciformes","Pholidae","Pholis","Pholis gunnellus","best hit","Pholidae","Pholis","Rock gunnel","demersal","non-migratory","of no interest"
"174","ASV195","species","Ammodytes dubius","Eukaryota","Chordata","Actinopteri","Uranoscopiformes","Ammodytidae","Ammodytes","Ammodytes dubius","best hit","Ammodytidae","Ammodytes","Northern sand lance","demersal",NA,"of potential interest"
"175","ASV196","species","Osmerus mordax","Eukaryota","Chordata","Actinopteri","Osmeriformes","Osmeridae","Osmerus","Osmerus mordax","best hit","Osmeridae","Osmerus","Rainbow smelt","pelagic-oceanic","anadromous","commercial"
"176","ASV197","species","Ammodytes dubius","Eukaryota","Chordata","Actinopteri","Uranoscopiformes","Ammodytidae","Ammodytes","Ammodytes dubius","best hit","Ammodytidae","Ammodytes","Northern sand lance","demersal",NA,"of potential interest"
"177","ASV198","species","Salmo salar","Eukaryota","Chordata","Actinopteri","Salmoniformes","Salmonidae","Salmo","Salmo salar","best hit","Salmonidae","Salmo","Atlantic salmon","benthopelagic","anadromous","highly commercial"
"178","ASV199","species","Auxis thazard","Eukaryota","Chordata","Actinopteri","Scombriformes","Scombridae","Auxis","Auxis thazard","best hit","Scombridae","Auxis","Frigate tuna","pelagic-neritic","oceanodromous","highly commercial"
"179","ASV200","species","Gasterosteus aculeatus","Eukaryota","Chordata","Actinopteri","Perciformes","Gasterosteidae","Gasterosteus","Gasterosteus aculeatus","best hit","Gasterosteidae","Gasterosteus","Three-spined stickleback","benthopelagic","anadromous","minor commercial"
"180","ASV201","species","Scomber scombrus","Eukaryota","Chordata","Actinopteri","Scombriformes","Scombridae","Scomber","Scomber scombrus","best hit","Scombridae","Scomber","Atlantic mackerel","pelagic-neritic","oceanodromous","highly commercial"
"181","ASV202","species","Fundulus heteroclitus","Eukaryota","Chordata","Actinopteri","Cyprinodontiformes","Fundulidae","Fundulus","Fundulus heteroclitus","best hit","Fundulidae","Fundulus","Mummichog","benthopelagic","non-migratory","commercial"
"182","ASV203","species","Enchelyopus cimbrius","Eukaryota","Chordata","Actinopteri","Gadiformes","Gaidropsaridae","Enchelyopus","Enchelyopus cimbrius","best hit","Lotidae","Enchelyopus","Fourbeard rockling","demersal","oceanodromous","minor commercial"
"183","ASV204","species","Microgadus tomcod","Eukaryota","Chordata","Actinopteri","Gadiformes","Gadidae","Microgadus","Microgadus tomcod","best hit","Gadidae","Microgadus","Atlantic tomcod","demersal","anadromous","minor commercial"
"184","ASV205","species","Ammodytes dubius","Eukaryota","Chordata","Actinopteri","Uranoscopiformes","Ammodytidae","Ammodytes","Ammodytes dubius","best hit","Ammodytidae","Ammodytes","Northern sand lance","demersal",NA,"of potential interest"
"185","ASV207","species","Pholis gunnellus","Eukaryota","Chordata","Actinopteri","Perciformes","Pholidae","Pholis","Pholis gunnellus","best hit","Pholidae","Pholis","Rock gunnel","demersal","non-migratory","of no interest"
"186","ASV208","species","Notoscopelus elongatus","Eukaryota","Chordata","Actinopteri","Myctophiformes","Myctophidae","Notoscopelus","Notoscopelus elongatus","best hit",NA,NA,NA,NA,NA,NA
"187","ASV211","species","Scophthalmus aquosus","Eukaryota","Chordata","Actinopteri","Pleuronectiformes","Scophthalmidae","Scophthalmus","Scophthalmus aquosus","best hit","Scophthalmidae","Scophthalmus","Windowpane flounder","demersal",NA,"commercial"
"188","ASV213","species","Osmerus mordax","Eukaryota","Chordata","Actinopteri","Osmeriformes","Osmeridae","Osmerus","Osmerus mordax","best hit","Osmeridae","Osmerus","Rainbow smelt","pelagic-oceanic","anadromous","commercial"
"189","ASV214","species","Clupea harengus","Eukaryota","Chordata","Actinopteri","Clupeiformes","Clupeidae","Clupea","Clupea harengus","best hit","Clupeidae","Clupea","Atlantic herring","benthopelagic","oceanodromous","highly commercial"
"190","ASV215","species","Clupea harengus","Eukaryota","Chordata","Actinopteri","Clupeiformes","Clupeidae","Clupea","Clupea harengus","best hit","Clupeidae","Clupea","Atlantic herring","benthopelagic","oceanodromous","highly commercial"
"191","ASV216","species","Clupea harengus","Eukaryota","Chordata","Actinopteri","Clupeiformes","Clupeidae","Clupea","Clupea harengus","best hit","Clupeidae","Clupea","Atlantic herring","benthopelagic","oceanodromous","highly commercial"
"192","ASV219","species","Clupea harengus","Eukaryota","Chordata","Actinopteri","Clupeiformes","Clupeidae","Clupea","Clupea harengus","best hit","Clupeidae","Clupea","Atlantic herring","benthopelagic","oceanodromous","highly commercial"
"193","ASV220","species","Ammodytes dubius","Eukaryota","Chordata","Actinopteri","Uranoscopiformes","Ammodytidae","Ammodytes","Ammodytes dubius","best hit","Ammodytidae","Ammodytes","Northern sand lance","demersal",NA,"of potential interest"
"194","ASV222","species","Gasterosteus aculeatus","Eukaryota","Chordata","Actinopteri","Perciformes","Gasterosteidae","Gasterosteus","Gasterosteus aculeatus","best hit","Gasterosteidae","Gasterosteus","Three-spined stickleback","benthopelagic","anadromous","minor commercial"
"195","ASV223","species","Fundulus diaphanus","Eukaryota","Chordata","Actinopteri","Cyprinodontiformes","Fundulidae","Fundulus","Fundulus diaphanus","best hit","Fundulidae","Fundulus","Banded killifish","benthopelagic","non-migratory","commercial"
